Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
143K5,13.125,0.750,0.250,0.500,0.000,0.750,1.500,13.125,0.000,20,0,D,Resign
143K6,14.500,0.333,1.833,0.000,0.000,1.833,2.167,11.000,0.333,27,0,D,Resign
144G7,15.738,0.000,0.000,0.286,0.000,0.286,0.286,14.238,0.143,31,4,W,Working
144H3,12.643,0.000,0.000,0.333,0.381,0.714,0.714,11.143,0.143,26,3,W,Working
144H4,32.828,0.138,0.034,0.000,0.000,0.034,0.172,27.759,0.483,26,3,W,Working
144H6,47.048,0.000,0.095,0.048,0.476,0.619,0.619,35.048,1.143,24,3,W,Working
144K2,39.024,0.333,0.667,0.000,0.286,0.952,1.286,30.524,0.810,26,1,W,Working
144K5,12.500,0.750,0.000,1.000,0.000,1.000,1.750,12.500,0.000,20,0,D,Resign
144K6,2.500,0.000,0.000,0.000,0.000,0.000,0.000,2.500,0.000,25,0,D,Resign
145D8,36.250,0.000,0.000,0.000,0.000,0.000,0.000,25.750,1.000,40,4,D,Resign
145H9,16.071,0.000,0.048,0.333,0.143,0.524,0.524,13.571,0.238,28,2,W,Working
145K1,3.256,0.179,0.513,0.051,0.000,0.564,0.744,2.718,0.051,22,2,W,Working
145K4,45.167,0.190,0.000,0.333,0.238,0.571,0.762,34.667,1.000,30,1,W,Working
145K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33,0,D,Resign
146F8,29.718,0.051,0.000,0.000,0.000,0.000,0.051,27.026,0.256,28,4,W,Working
146K4,45.571,0.667,0.286,0.048,0.000,0.333,1.000,31.071,1.381,22,1,W,Working
146K5,0.625,0.500,0.000,0.750,0.000,0.750,1.250,0.625,0.000,28,0,A,Resign
146K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31,0,D,Resign
147G2,10.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,34,3,A,Resign
147G5,12.167,0.000,0.095,0.000,0.000,0.095,0.095,10.667,0.143,30,4,W,Working
147G7,22.929,0.000,0.381,0.000,0.476,0.857,0.857,20.929,0.190,31,4,W,Working
